datasetID,eventID,occurrenceID,kingdom,scientificName,scientificNameID,taxonID,identificationReferences,lifeStage,basisOfRecord,samplingProtocol,ocurrenceStatus
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Pisces_larvae_?_TWINRING_150UM_MICROSCOPY_nan,Animalia,Pisces,urn:lsid:marinespecies.org:taxname:11676,11676,WoRMS,larvae,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Isopoda_?_?_TWINRING_150UM_MICROSCOPY_nan,Animalia,Isopoda,urn:lsid:marinespecies.org:taxname:1131,1131,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Evadne_nordmanni_?_?_TWINRING_150UM_MICROSCOPY_0.0086,Animalia,Evadne nordmanni,urn:lsid:marinespecies.org:taxname:106273,106273,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_newmani_?_?_TWINRING_150UM_MICROSCOPY_0.0121,Animalia,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,157679,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_acuspes_?_?_TWINRING_150UM_MICROSCOPY_0.0335,Animalia,Pseudocalanus acuspes,urn:lsid:marinespecies.org:taxname:104514,104514,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Echinodermata_larvae_?_TWINRING_150UM_MICROSCOPY_0.0357,Animalia,Echinodermata,urn:lsid:marinespecies.org:taxname:1806,1806,WoRMS,larvae,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Podon_leuckartii_?_?_TWINRING_150UM_MICROSCOPY_0.0514,Animalia,Podon leuckartii,urn:lsid:marinespecies.org:taxname:106277,106277,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Fritillaria_borealis_?_?_TWINRING_150UM_MICROSCOPY_0.0685,Animalia,Fritillaria borealis,urn:lsid:marinespecies.org:taxname:103375,103375,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_male_male_TWINRING_150UM_MICROSCOPY_0.0888,Animalia,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_?_?_TWINRING_150UM_MICROSCOPY_0.1333,Animalia,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS, ,HumanObservation,TWINRING_150UM_MICROSCOPY,present
