occurrenceID,eventID,measurementType,measurementValue,measurementUnit,measurementUnitID,measurementTypeID
AMBON_Zooplankton_2017_BBL1_?_Pisces_larvae_?_TWINRING_150UM_MICROSCOPY_nan_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],1.172,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Isopoda_?_?_TWINRING_150UM_MICROSCOPY_nan_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],1.172,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Evadne_nordmanni_?_?_TWINRING_150UM_MICROSCOPY_0.0086_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],1.172,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_newmani_?_?_TWINRING_150UM_MICROSCOPY_0.0121_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],4.686,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_acuspes_?_?_TWINRING_150UM_MICROSCOPY_0.0335_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],4.686,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Echinodermata_larvae_?_TWINRING_150UM_MICROSCOPY_0.0357_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],337.425,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Podon_leuckartii_?_?_TWINRING_150UM_MICROSCOPY_0.0514_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],18.746,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Fritillaria_borealis_?_?_TWINRING_150UM_MICROSCOPY_0.0685_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],206.204,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_male_male_TWINRING_150UM_MICROSCOPY_0.0888_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],18.746,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
AMBON_Zooplankton_2017_BBL1_?_Pseudocalanus_?_?_TWINRING_150UM_MICROSCOPY_0.1333_12_2017-08-20T22:48:00,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,Abundance_[#/m3],93.729,Number per m3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/
